"","date","open","high","low","adj.close","volume","macd","boll_ub","boll_lb","rsi_30","cci_30","dx_30","close_30_sma","close_60_sma","arima_res","residuals"
"1001","2014-01-02",177500,177792,176118,176320,300,1012.08631568524,179049.684391475,169765.815608525,54.3759801520095,114.232892932666,18.4542300291677,174215.433333333,173778.016666667,177721.958943526,-1401.95894352559
"1002","2014-01-03",176297,177070,176112,176336,200,983.07095601139,179247.654409454,169851.445590546,54.4016482687638,95.9340955146806,18.3879994503358,174301.3,173926.083333333,176484.225464281,-148.225464280811
"1003","2014-01-06",176720,177199,174500,174500,500,802.673498078744,179266.049960598,169983.050039402,50.9959064257598,45.6472607886423,2.0078112036048,174368.633333333,174031,176367.553980843,-1867.55398084337
"1004","2014-01-07",174588,175480,174000,174195,400,627.858697726042,179230.09820798,169944.50179202,50.4531087029943,8.18094508579556,2.46657379366165,174354.433333333,174059.5,174800.479354115,-605.479354115145
"1005","2014-01-08",174440,174440,172982,173284,400,411.068085509818,179113.12002796,169819.87997204,48.8466152098472,-32.6805868036025,10.9661369979655,174302.233333333,174054.15,174165.807153043,-881.807153043075
"1006","2014-01-09",173760,173812,172609,172965,400,211.086060719244,179116.072996933,169766.427003067,48.289634034751,-49.2711949376178,13.9047805726827,174290.7,174033.566666667,173526.562645673,-561.56264567285
"1007","2014-01-10",173600,173600,171681,172540,200,18.0963141087268,179063.040792889,169910.459207111,47.5424813002377,-66.5336329642856,20.8523450983711,174214.033333333,174043.9,173128.123236443,-588.123236442741
"1008","2014-01-13",172900,172906,170750,170893,300,-264.697320006118,179123.248791436,169789.551208564,44.7657776248586,-102.171044133102,27.1562713042365,174089.633333333,173977.583333333,172651.308644672,-1758.30864467181
"1009","2014-01-14",171221,172308,170522,172250,300,-374.992078130279,179032.613692148,169995.186307852,47.384967820845,-88.143720663221,28.6440962702422,174006.3,173926.983333333,171235.382592919,1014.61740708095
"1010","2014-01-15",172680,173730,172055,173665,700,-344.254443291575,178895.248300799,170385.151699201,49.945340322939,-32.1143527833662,13.2258896656271,174030.466666667,173898.066666667,172148.978060105,1516.0219398952
"1011","2014-01-16",173900,173999,172369,172773,300,-387.405818351923,178634.917219056,170880.782780944,48.4091245699417,-38.2800398495998,10.5466837167203,174051.866666667,173858.95,173454.673070668,-681.673070668417
"1012","2014-01-17",173050,173263,172102,172350,400,-450.54258435822,178682.791569361,170642.908430639,47.6895444095552,-56.3459893962731,12.7375232526584,174013.533333333,173795.783333333,172901.052431568,-551.052431567688
"1013","2014-01-21",172950,173100,171466,172500,500,-482.908511179558,178690.143339584,170420.656660416,47.9732401921164,-63.1447051191838,17.8599819803388,173996.866666667,173760.783333333,172434.611003782,65.3889962176909
"1014","2014-01-22",173100,173800,172580,172895,300,-471.253228647227,178587.854771596,170252.445228404,48.7306849871499,-33.0833057144932,10.2458925937873,173928.7,173725.35,172500.395672255,394.604327745037
"1015","2014-01-23",172330,172330,170000,170310,800,-662.962016080302,178628.26202315,169653.23797685,44.3585986204099,-109.162592023822,28.4559222207795,173749.033333333,173639.933333333,172835.575544667,-2525.57554466656
"1016","2014-01-24",169676,170000,168414,168500,1200,-949.993550210696,178815.697395505,168714.802604495,41.6517688157117,-163.388090460986,36.8722698786017,173583.366666667,173524.933333333,170772.047825774,-2272.04782577389
"1017","2014-01-27",168151,168982,167632,168210,1000,-1187.18357210536,178728.930585308,167932.569414692,41.2347181273153,-173.092679617417,40.5578971096212,173469.366666667,173395.25,168916.932515544,-706.932515543711
"1018","2014-01-28",169050,169720,168590,169212,1000,-1279.55542889342,178314.781829622,167551.918170378,43.2651945167576,-135.55676239764,32.7397211615445,173393.1,173309.783333333,168402.744578169,809.255421830807
"1019","2014-01-29",168737,168899,168000,168748,600,-1374.35895852634,177838.769765317,167195.830234683,42.5607290722088,-146.498927520736,35.7918287281671,173314.7,173239.016666667,169153.185642823,-405.185642822791
"1020","2014-01-30",169200,170499,168120,170450,500,-1297.20093805608,176891.784354638,167397.815645362,45.9031260937409,-107.741698157375,20.0057297559485,173291.733333333,173194.483333333,168876.23480076,1573.76519923951
"1021","2014-01-31",168017,169625,167638,169511,700,-1296.87256374967,176258.143665017,167350.556334983,44.4276513983652,-126.199004688743,22.8923483991409,173261.433333333,173151.516666667,170198.226685839,-687.226685838716
"1022","2014-02-03",169599,169599,164510,165265,1000,-1620.54836662926,176070.086149368,166431.513850632,38.6207103783148,-175.440815135921,38.3301889549979,172961.933333333,173043.366666667,169647.75489684,-4382.75489684037
"1023","2014-02-04",165700,166030,164500,164817,500,-1891.41062396654,176126.729978784,165406.570021216,38.0774806279973,-185.431775676518,38.3723548768344,172634.2,172919.983333333,166034.6427383,-1217.64273829988
