Date,Open,High,Low,Close,Adj Close,Volume
2014-11-20,9.64,9.64,9.64,9.64,9.64,0
2014-11-25,9.7,9.7,9.6,9.7,9.7,1100
2014-12-04,9.55,9.55,9.55,9.55,9.55,500
2014-12-08,9.64,9.78,9.61,9.61,9.61,9100
2015-01-05,9.68,9.7,9.65,9.65,9.65,7200
2015-01-07,9.74,9.74,9.73,9.73,9.73,500
2015-01-13,9.74,9.8,9.74,9.8,9.8,2100
2015-01-14,9.72,9.77,9.72,9.73,9.73,6600
2015-01-22,9.65,9.72,9.65,9.69,9.69,1200
2015-01-23,9.7,9.76,9.7,9.75,9.75,1800
2015-02-02,9.69,9.74,9.69,9.71,9.71,2800
2015-02-23,9.75,9.75,9.68,9.68,9.68,1900
2015-03-02,9.75,9.75,9.74,9.75,9.75,1400
2015-03-06,9.7,9.7,9.68,9.7,9.7,1300
2015-04-02,9.85,10.2,9.85,9.93,9.93,6300
2015-04-08,9.95,10.44,9.95,10.44,10.44,7000
2015-04-09,10.04,10.18,10.02,10.18,10.18,7100
2015-04-10,10.0,10.39,10.0,10.39,10.39,200
2015-04-14,10.24,10.24,10.24,10.24,10.24,100
2015-04-15,10.12,10.12,10.12,10.12,10.12,300
2015-04-17,10.05,10.05,10.05,10.05,10.05,200
2015-04-28,10.05,10.1,10.05,10.1,10.1,2700
2015-04-30,12.05,13.35,11.28,11.59,11.59,2344700
2015-05-01,11.47,12.1,11.47,11.96,11.96,1613000
2015-05-04,11.92,12.14,11.65,11.87,11.87,214400
2015-05-05,11.97,11.99,11.53,11.63,11.63,74600
2015-05-06,11.66,11.7,11.245,11.35,11.35,93000
2015-05-07,11.4,11.42,11.15,11.15,11.15,348000
2015-05-08,11.11,11.25,10.83,11.25,11.25,136400
2015-05-14,11.26,11.72,10.93,11.56,11.56,1546100
2015-05-19,11.48,11.65,11.31,11.41,11.41,88900
2015-05-20,11.22,11.57,11.2,11.5,11.5,142000
2015-05-21,11.5,12.0,11.45,11.77,11.77,834200
2015-05-22,11.8,12.0,11.52,11.88,11.88,401800
2015-05-26,11.85,11.85,11.65,11.68,11.68,93100
2015-05-27,11.74,11.75,11.5,11.6,11.6,112700
2015-05-28,11.55,11.645,11.2,11.29,11.29,211800
2015-06-01,11.3,11.41,11.3,11.34,11.34,205300
2015-06-02,11.35,11.4,11.09,11.14,11.14,272700
2015-06-04,11.135,11.15,10.9,10.95,10.95,485100
2015-06-08,11.07,11.1,10.74,10.85,10.85,192800
2015-06-09,10.92,10.93,10.61,10.76,10.76,55700
2015-06-10,10.87,11.35,10.87,11.25,11.25,702100
2015-06-12,11.25,11.462,11.112,11.29,11.29,347000
2015-06-16,11.35,11.63,11.35,11.4,11.4,855100
2015-06-17,11.4,11.625,11.37,11.47,11.47,1087400
2015-06-18,11.43,11.5,11.01,11.36,11.36,119900
2015-06-22,11.34,11.71,11.33,11.66,11.66,303000
2015-06-23,11.58,11.68,11.41,11.57,11.57,299000
2015-06-25,11.59,11.88,11.59,11.78,11.78,635000
2015-06-30,11.78,12.69,11.73,12.5,12.5,2080500
2015-07-01,12.57,12.95,12.39,12.62,12.62,329100
2015-07-06,12.6,12.81,12.53,12.8,12.8,205600
2015-07-07,12.86,13.21,12.82,12.99,12.99,951300
2015-07-09,13.0,13.0,12.75,12.81,12.81,157700
2015-07-10,12.85,12.89,12.6,12.67,12.67,82600
