Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,64.699997,64.970001,64.5,64.809998,52.20874,2692500
2012-09-05,64.769997,64.919998,64.400002,64.470001,51.934853,2973900
2012-09-06,64.599998,65.0,64.419998,65.0,52.361805,3298800
2012-09-11,64.82,64.93,64.459999,64.459999,51.9268,2097400
2012-09-12,64.489998,64.610001,64.029999,64.050003,51.596527,3380400
2012-09-13,64.040001,64.68,63.869999,64.660004,52.087917,4314000
2012-09-14,64.93,65.0,64.010002,64.190002,51.709301,3911100
2012-09-18,64.059998,64.239998,63.029999,63.16,50.879562,5639300
2012-09-20,63.27,64.139999,63.27,63.93,51.499847,3543400
2012-09-24,64.120003,64.739998,64.059998,64.650002,52.079849,3657600
2012-09-28,64.029999,64.849998,63.950001,64.790001,52.192642,4051000
2012-10-01,65.010002,65.160004,64.349998,64.379997,51.86235,4272200
2012-10-02,64.589996,65.07,64.540001,64.760002,52.168465,2952600
2012-10-04,64.940002,65.449997,64.870003,65.389999,52.675976,3109800
2012-10-05,65.5,65.589996,64.93,64.980003,52.345692,2021800
2012-10-10,65.290001,65.309998,64.709999,64.779999,52.184578,2060700
2012-10-15,64.120003,64.610001,63.880001,64.559998,52.007351,2068400
2012-10-17,64.720001,65.580002,64.639999,65.269997,52.579304,2423900
2012-10-18,65.290001,65.650002,65.209999,65.599998,52.845131,2363700
2012-10-23,65.360001,65.639999,64.949997,64.989998,52.353748,2780500
2012-10-24,65.019997,65.139999,64.260002,64.32,51.814014,2479400
2012-10-25,64.550003,64.760002,64.129997,64.75,52.160404,2330100
2012-10-26,64.75,65.290001,64.550003,65.110001,52.450424,2595700
2012-10-31,65.019997,65.809998,65.0,65.690002,52.917641,3246600
2012-11-01,65.639999,65.860001,65.220001,65.309998,52.61153,2983500
2012-11-02,65.529999,65.75,64.870003,64.940002,52.313477,9485600
2012-11-05,64.580002,64.709999,63.869999,64.059998,51.604565,3184600
2012-11-07,63.869999,64.0,62.459999,62.939999,50.702339,4243800
2012-11-08,63.68,64.25,62.560001,62.560001,50.396225,9688400
2012-11-09,62.5,62.59,61.669998,61.959999,49.912872,11296400
