Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,65.550003,65.860001,64.470001,64.650002,57.724342,1511600
2012-09-06,65.300003,66.730003,65.099998,66.720001,59.572586,1593900
2012-09-07,66.889999,67.290001,66.75,67.199997,60.001171,1163600
2012-09-10,66.949997,67.080002,66.300003,66.32,59.215443,2214000
2012-09-11,66.300003,66.349998,65.900002,65.980003,58.91188,2204300
2012-09-14,66.239998,67.199997,66.199997,66.779999,59.626171,1870900
2012-09-28,66.110001,66.470001,65.669998,66.120003,59.036884,1719800
2012-10-01,66.029999,67.699997,66.0,67.419998,60.197609,2114300
2012-10-04,66.739998,67.269997,66.650002,66.82,60.117451,940800
2012-10-05,67.18,67.879997,67.110001,67.290001,60.540318,1145100
2012-10-08,67.0,67.059998,66.410004,66.449997,59.784569,1037000
2012-10-09,66.519997,66.889999,65.940002,65.940002,59.325714,978600
2012-10-10,65.919998,66.059998,65.059998,65.160004,58.623962,1331600
2012-10-11,65.57,66.040001,65.529999,65.589996,59.010811,902000
2012-10-12,65.830002,66.639999,65.779999,66.099998,59.469673,920800
2012-10-16,66.540001,67.379997,66.339996,67.220001,60.477325,1010700
2012-10-17,67.410004,67.910004,66.910004,67.660004,60.873199,1023000
2012-10-18,67.510002,68.730003,67.269997,68.580002,61.700905,1486800
2012-10-19,68.260002,68.349998,67.059998,67.169998,60.432343,1747400
2012-10-23,66.389999,66.480003,65.029999,66.209999,59.568642,2029800
2012-10-24,65.580002,68.75,65.480003,67.790001,60.990154,2983600
2012-10-31,67.790001,68.5,67.519997,68.080002,61.25108,1631000
2012-11-01,68.290001,69.739998,68.019997,69.419998,62.456642,2200600
2012-11-02,69.739998,69.879997,68.650002,68.809998,61.907841,1866900
2012-11-05,68.809998,68.809998,67.970001,68.370003,61.511982,1679900
2012-11-06,68.599998,69.949997,68.300003,69.260002,62.312717,1635500
2012-11-07,68.07,68.099998,65.769997,66.589996,59.910519,3075200
2012-11-08,66.449997,66.580002,64.139999,64.330002,57.877224,3382900
2012-11-13,63.650002,64.639999,63.599998,63.75,57.355392,1376100
2012-11-14,63.919998,63.939999,62.02,62.200001,55.960873,1964600
2012-11-19,62.810001,63.91,62.639999,63.91,57.499348,2273800
2012-11-21,63.799999,64.57,63.59,64.360001,57.904213,1005500
2012-11-23,64.589996,65.410004,64.339996,65.410004,58.848885,553500
2012-11-26,65.0,65.190002,64.639999,65.059998,58.533989,1392600
2012-11-28,64.480003,65.720001,64.410004,65.709999,59.118801,1435200
2012-11-29,66.0,66.610001,65.5,66.529999,59.856541,1946900
2012-12-03,66.779999,66.980003,65.290001,65.690002,59.100807,1151700
2012-12-04,65.68,66.519997,65.580002,66.440002,59.775578,1535900
2012-12-05,66.449997,67.150002,65.739998,66.879997,60.171425,1760400
2012-12-07,67.080002,67.220001,66.400002,67.190002,60.450336,1174400
2012-12-10,67.190002,68.300003,66.910004,68.25,61.404018,1713700
2012-12-11,68.5,69.199997,68.300003,68.970001,62.051781,1864600
2012-12-13,68.900002,68.989998,67.900002,68.0,61.179085,1861400
2012-12-17,67.629997,68.379997,67.5,68.0,61.641407,1626800
2012-12-18,68.080002,69.050003,67.82,69.010002,62.556957,1714500
2012-12-19,68.940002,69.769997,68.769997,69.519997,63.019268,1713400
2012-12-20,69.610001,70.279999,69.169998,70.279999,63.708206,1811000
2012-12-24,70.589996,70.589996,68.940002,69.470001,62.973949,1096900
2012-12-26,69.610001,70.18,69.0,69.040001,62.584137,1129900
2012-12-28,68.419998,68.790001,67.839996,67.879997,61.532619,1010100
2012-12-31,67.540001,69.309998,67.139999,69.269997,62.792641,1581900
2013-01-02,70.669998,71.209999,70.239998,71.209999,64.551247,2021500
2013-01-04,71.650002,71.660004,71.0,71.07,64.424332,2406300
2013-01-07,70.779999,72.010002,70.760002,71.860001,65.140457,1941700
2013-01-08,71.5,71.68,70.279999,70.410004,63.826042,1734900
2013-01-10,71.029999,71.650002,70.919998,71.650002,64.950089,1176700
2013-01-11,71.93,71.93,70.739998,70.739998,64.125191,1588100
2013-01-14,70.599998,70.82,70.139999,70.349998,63.771664,2036300
2013-01-16,70.610001,70.790001,69.510002,69.800003,63.273087,1966900
2013-01-17,70.089996,71.199997,69.610001,71.019997,64.378998,2186800
2013-01-18,70.889999,71.150002,70.410004,70.660004,64.052673,2283400
2013-01-23,68.370003,71.690002,67.199997,71.449997,64.768768,8097300
2013-01-24,71.360001,71.449997,70.029999,70.639999,64.034561,4237700
2013-01-28,70.669998,70.849998,69.93,70.010002,63.463451,2846100
2013-01-29,69.849998,69.910004,69.029999,69.25,62.774509,2953600
2013-01-30,69.330002,69.349998,68.239998,68.43,62.031189,3040900
2013-01-31,68.220001,68.370003,66.129997,66.300003,60.100365,5447300
2013-02-01,66.459999,66.839996,64.949997,65.879997,59.719631,7156000
2013-02-04,65.160004,65.639999,64.470001,64.57,58.532135,4565300
2013-02-05,65.019997,66.019997,64.900002,65.139999,59.048843,4732800
2013-02-06,65.0,66.32,65.0,66.269997,60.073166,4061800
2013-02-07,66.290001,67.120003,65.980003,66.769997,60.526413,3747200
2013-02-13,66.709999,66.900002,65.720001,66.110001,59.928146,2673800
2013-02-19,66.519997,67.029999,66.209999,67.029999,60.762115,2391600
2013-02-20,67.040001,67.110001,66.580002,66.610001,60.381382,2304000
2013-02-22,66.709999,67.769997,66.709999,67.32,61.024986,2115100
2013-02-25,67.709999,67.889999,66.669998,66.690002,60.453896,3383200
2013-02-27,66.75,68.739998,66.599998,68.550003,62.139969,3236400
2013-02-28,68.449997,69.040001,67.959999,67.970001,61.614197,2338200
2013-03-04,67.419998,67.639999,66.470001,67.040001,60.771164,1598000
2013-03-05,67.300003,67.870003,67.279999,67.669998,61.342258,1432300
2013-03-08,68.050003,68.959999,68.050003,68.889999,62.448166,2456600
2013-03-12,69.110001,69.339996,68.379997,68.769997,62.339397,1341700
2013-03-13,68.900002,70.18,68.879997,70.110001,63.5541,2444300
2013-03-14,70.129997,70.379997,69.599998,69.650002,63.137108,1580800
2013-03-21,69.370003,69.690002,68.860001,68.889999,62.448166,1544300
2013-03-22,69.139999,69.440002,69.0,69.290001,62.810764,1138700
