Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,67.489998,67.540001,66.970001,67.260002,58.315666,8402700
2012-09-06,67.709999,68.220001,67.589996,67.839996,58.81855,13075500
2012-09-13,68.010002,69.169998,68.0,68.989998,59.815613,13006300
2012-09-14,68.910004,68.910004,68.080002,68.470001,59.364769,13024000
2012-10-05,69.459999,69.739998,69.32,69.650002,60.387856,9429900
2012-10-09,68.620003,68.970001,68.099998,68.410004,59.312748,15365900
2012-10-15,68.18,68.989998,68.07,68.599998,59.47747,14868000
2012-10-16,69.300003,69.800003,69.019997,69.550003,60.301147,13688800
2012-10-17,69.730003,71.18,69.550003,71.0,61.558323,26522700
2012-10-18,70.870003,72.739998,70.82,72.519997,62.876186,33591100
2012-10-19,72.110001,72.239998,71.730003,71.860001,62.303959,18391000
2012-10-23,71.169998,71.529999,70.529999,70.889999,61.462948,11086000
2012-10-25,71.010002,71.559998,70.989998,71.139999,61.67971,9672700
2012-11-01,71.099998,71.900002,70.830002,71.5,61.991844,11226000
2012-11-02,71.699997,71.699997,70.830002,70.900002,61.471626,7946700
2012-11-07,70.690002,70.989998,69.699997,70.339996,60.986061,12719700
2012-11-08,70.150002,70.419998,69.650002,69.650002,60.387856,12652100
2012-11-20,69.260002,69.709999,69.139999,69.669998,60.405178,9859500
2012-11-23,69.080002,69.559998,68.949997,69.559998,60.84314,5450100
2012-11-26,69.120003,69.5,68.82,69.089996,60.432034,9884800
2012-11-28,68.709999,69.379997,68.599998,69.290001,60.606976,9983200
2012-11-30,69.389999,69.919998,69.18,69.730003,60.99184,13480700
2012-12-07,70.040001,70.519997,69.860001,70.449997,61.621624,10021300
2012-12-11,70.93,71.620003,70.75,71.099998,62.190155,14933700
2012-12-21,70.559998,70.75,70.059998,70.269997,61.464172,22142300
2012-12-28,69.839996,70.07,69.419998,69.480003,60.773174,9691100
2012-12-31,69.239998,70.110001,69.18,70.099998,61.315472,12770000
2013-01-02,71.019997,71.019997,70.300003,70.839996,61.96273,12874200
2013-01-04,71.239998,71.730003,71.010002,71.550003,62.583778,11631800
2013-01-10,71.809998,72.379997,71.739998,72.190002,63.143574,11888500
2013-01-22,72.919998,73.209999,72.419998,72.690002,63.58091,11469800
2013-01-25,73.129997,73.93,73.059998,73.919998,64.656769,10421500
2013-01-29,73.669998,74.620003,73.639999,74.410004,65.085373,12386500
2013-02-05,74.489998,74.82,74.470001,74.660004,65.304047,10230800
2013-02-06,74.57,75.389999,74.519997,75.389999,65.942566,12084000
2013-02-08,75.169998,75.610001,74.730003,75.480003,66.021309,8153300
2013-02-12,75.419998,75.860001,75.419998,75.800003,66.301193,7598900
2013-02-19,76.029999,77.0,75.959999,76.959999,67.315834,9747400
2013-02-25,76.470001,76.660004,75.57,75.57,66.628731,10603300
2013-02-27,75.68,76.449997,75.599998,76.32,67.289993,8180300
2013-03-01,75.790001,76.769997,75.730003,76.699997,67.625031,9528300
2013-03-04,76.730003,77.279999,76.730003,77.199997,68.065865,12628000
2013-03-05,77.559998,77.709999,77.440002,77.660004,68.471451,9399400
2013-03-08,77.839996,78.220001,77.699997,78.190002,68.938751,8554100
2013-03-14,78.669998,79.099998,78.489998,79.099998,69.741074,10130400
2013-03-20,79.18,79.610001,79.169998,79.449997,70.049652,8000800
2013-03-21,79.120003,79.5,78.769997,79.010002,69.661736,8436300
2013-03-22,79.110001,79.739998,79.019997,79.739998,70.305359,6873100
2013-03-26,79.93,80.879997,79.849998,80.849998,71.284027,12682900
2013-03-27,80.559998,81.349998,80.269997,81.269997,71.654327,10703400
2013-04-02,82.0,82.690002,81.900002,82.690002,72.906303,10342200
2013-04-03,82.739998,82.949997,81.57,82.07,72.359665,12254000
