Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,40.669998,41.349998,40.610001,41.209999,37.198372,4393500
2012-09-05,41.259998,41.349998,40.73,40.849998,36.873405,4906200
2012-09-06,41.139999,41.669998,41.029999,41.580002,37.532356,4484400
2012-09-11,41.560001,41.900002,41.52,41.68,37.62262,4415300
2012-09-13,41.669998,42.360001,41.57,42.299999,38.182262,3949600
2012-09-14,42.119999,43.049999,42.02,43.049999,38.859253,6048500
2012-09-20,42.73,43.259998,42.689999,43.169998,38.967564,4449500
2012-09-24,43.290001,43.790001,43.150002,43.709999,39.455006,3638200
2012-09-25,43.880001,44.040001,43.290001,43.310001,39.093945,5982400
2012-09-26,43.48,43.669998,43.07,43.07,38.877304,4700400
2012-09-27,43.200001,43.560001,43.16,43.48,39.247391,3097900
2012-09-28,43.27,43.439999,42.740002,43.119999,38.922436,4720500
2012-10-02,43.299999,43.740002,43.259998,43.709999,39.455006,4873700
2012-10-04,43.389999,44.07,43.369999,44.02,39.972591,4602800
2012-10-05,44.150002,44.790001,44.150002,44.669998,40.562828,6373200
2012-10-08,44.509998,44.66,43.389999,44.209999,40.145123,4453000
2012-10-09,43.630001,43.84,43.02,43.209999,39.237076,7581400
2012-10-10,43.049999,43.369999,42.360001,42.549999,38.637756,6018500
2012-10-11,43.209999,43.25,42.799999,42.82,38.882927,3727100
2012-10-12,42.880001,43.470001,42.84,43.049999,39.091778,4096400
2012-10-16,43.459999,43.950001,43.349998,43.799999,39.772823,3547400
2012-10-17,43.529999,43.799999,43.200001,43.290001,39.309715,4478200
2012-10-19,43.189999,43.200001,41.959999,42.0,38.138336,7312800
2012-10-22,41.860001,42.529999,41.860001,42.490002,38.583267,3966400
2012-10-23,42.150002,42.18,41.540001,41.549999,37.729694,4042300
2012-10-26,41.75,41.880001,41.349998,41.599998,37.775097,3169300
2012-11-01,41.599998,42.400002,41.439999,42.25,38.365345,5225500
2012-11-02,42.610001,42.790001,41.900002,42.0,38.138336,5083800
2012-11-06,42.150002,43.0,42.0,42.810001,38.873856,4809700
2012-11-07,42.389999,42.450001,41.110001,41.509998,37.693378,6640200
2012-11-08,41.490002,41.66,41.040001,41.060001,37.284752,4583000
2012-11-12,41.23,41.689999,40.950001,41.490002,37.67522,2992000
2012-11-14,41.330002,41.599998,40.66,40.77,37.02142,5047900
2012-11-16,40.93,41.220001,40.540001,41.099998,37.321075,5433700
2012-11-19,41.360001,41.810001,41.310001,41.810001,37.965801,5154800
2012-11-20,42.459999,42.970001,42.27,42.66,38.737644,5143200
2012-11-23,42.939999,43.27,42.810001,43.27,39.291546,1838200
2012-11-26,42.959999,43.049999,42.619999,42.799999,38.864773,4280900
2012-11-27,42.740002,43.0,42.389999,42.41,38.510628,4221300
2012-11-29,42.82,42.82,42.099998,42.240002,38.356255,6219100
2012-12-03,42.279999,42.5,41.73,41.869999,38.020279,4957800
2012-12-06,42.049999,42.5,41.880001,42.5,38.592358,4012200
2012-12-14,42.080002,42.18,41.790001,41.860001,38.24445,3133200
2012-12-17,41.950001,42.330002,41.860001,42.240002,38.591625,3717600
2012-12-18,42.369999,42.889999,42.080002,42.799999,39.103264,3837000
2012-12-19,42.779999,42.849998,42.419998,42.439999,38.774345,4275700
2012-12-20,42.450001,42.779999,42.080002,42.68,38.993629,3232400
2012-12-21,42.490002,42.490002,41.790001,42.02,38.390629,6718000
2012-12-24,41.869999,41.98,41.549999,41.700001,38.098274,1594200
2012-12-26,41.650002,41.66,40.98,41.130001,37.577507,3485800
2012-12-27,41.130001,41.41,40.759998,41.34,37.76936,3863800
2012-12-28,41.130001,41.209999,40.68,40.75,37.230324,3055100
2012-12-31,40.599998,41.049999,40.279999,41.02,37.477001,4689100
2013-01-02,41.450001,41.880001,41.16,41.880001,38.262722,6521500
2013-01-03,41.990002,42.52,41.939999,42.470001,38.801762,5338600
2013-01-07,42.52,43.48,42.389999,43.16,39.432171,6807700
2013-01-09,43.32,43.849998,43.240002,43.380001,39.63316,3442200
2013-01-10,43.459999,43.970001,43.459999,43.849998,40.062565,4241100
2013-01-11,43.759998,44.119999,43.759998,44.07,40.263561,3212000
2013-01-17,44.439999,45.48,44.34,45.169998,41.268555,7958700
2013-01-18,45.450001,45.669998,44.950001,45.669998,41.725372,6347800
2013-01-22,45.540001,46.209999,45.080002,46.200001,42.209599,7128000
2013-01-23,46.049999,46.200001,45.560001,45.900002,41.935509,4116000
2013-01-24,45.950001,46.490002,45.869999,46.450001,42.438007,4024400
2013-02-01,46.849998,47.130001,46.68,46.919998,42.867405,4374500
2013-02-04,46.560001,46.75,46.23,46.25,42.255272,3630600
2013-02-05,46.619999,47.029999,46.52,46.77,42.730366,3740000
2013-02-08,46.84,47.18,46.73,47.099998,43.031853,3099500
2013-02-19,45.990002,46.25,44.990002,45.799999,41.844147,9472800
2013-02-20,45.84,45.84,44.439999,44.759998,40.893967,9916300
2013-02-25,45.0,45.459999,43.880001,43.880001,40.089981,6608600
2013-02-26,44.169998,44.459999,43.509998,44.119999,40.309242,7409000
2013-02-27,44.119999,44.599998,44.040001,44.540001,40.692966,4087300
2013-02-28,44.73,45.200001,44.419998,44.959999,41.076694,5498400
2013-03-01,44.799999,45.310001,44.509998,45.23,41.32338,4365000
2013-03-05,45.5,46.0,45.400002,45.779999,41.825863,4082500
2013-03-06,45.959999,46.110001,45.790001,46.029999,42.054291,3028700
2013-03-07,46.02,46.240002,45.599998,45.73,41.780186,2647900
2013-03-11,45.599998,46.209999,45.5,46.209999,42.218723,3877900
2013-03-15,45.799999,45.959999,45.419998,45.419998,41.496956,6510200
2013-03-18,45.009998,45.360001,44.799999,45.110001,41.213745,3444000
2013-03-20,45.5,45.73,45.369999,45.540001,41.606594,3578300
2013-03-21,45.330002,45.98,45.279999,45.82,41.862411,5703000
2013-03-25,46.16,46.169998,45.610001,45.73,41.780186,3401300
2013-03-26,46.060001,46.650002,45.889999,46.650002,42.620728,4236900
2013-03-28,46.450001,47.009998,46.279999,46.959999,42.90395,4411500
2013-04-02,47.049999,47.48,46.84,47.330002,43.241989,4953500
2013-04-05,46.619999,46.700001,46.169998,46.279999,42.516239,3861400
2013-04-09,46.529999,47.009998,46.43,46.759998,42.957207,4273500
2013-04-10,46.84,47.330002,46.82,47.240002,43.39817,3201900
2013-04-11,47.349998,47.98,47.240002,47.720001,43.839134,5282200
2013-04-12,47.5,47.689999,46.91,47.200001,43.361416,4540300
2013-04-15,46.959999,47.27,46.209999,46.23,42.470306,5189000
2013-04-16,46.369999,46.68,46.029999,46.650002,42.856155,4260000
2013-04-17,46.48,46.709999,46.060001,46.349998,42.580551,4309700
2013-04-18,46.34,46.400002,45.389999,45.610001,41.900726,3159300
2013-04-19,45.700001,46.110001,45.41,46.029999,42.286568,4586400
2013-04-23,46.200001,46.84,46.169998,46.59,42.801025,3309100
2013-04-25,46.5,47.310001,46.459999,47.029999,43.205246,4116700
2013-04-26,47.07,47.18,46.310001,46.360001,42.589729,3498000
2013-04-29,46.57,46.880001,46.549999,46.84,43.030701,4225200
2013-05-02,46.610001,47.459999,46.490002,47.439999,43.581909,3700500
2013-05-03,47.59,47.970001,47.529999,47.720001,43.839134,3485000
2013-05-07,47.790001,48.099998,47.549999,48.099998,44.188225,3468900
2013-05-08,48.02,48.830002,47.919998,48.810001,44.840488,4231000
2013-05-10,48.759998,49.209999,48.759998,49.169998,45.171207,3538900
2013-05-14,49.34,49.93,49.23,49.919998,45.860207,3615800
2013-05-16,49.709999,49.880001,49.549999,49.639999,45.602982,3683800
2013-05-21,51.82,53.830002,51.82,52.349998,48.092587,14006300
2013-05-22,51.98,52.599998,51.110001,51.529999,47.339272,11185800
2013-05-28,51.540001,52.389999,51.540001,51.98,47.752678,7224200
2013-05-31,51.93,52.16,50.950001,51.009998,46.861565,8285300
2013-06-03,51.240002,52.060001,51.130001,52.060001,47.826176,6809100
2013-06-04,51.77,52.09,51.41,51.419998,47.238224,5895200
2013-06-05,51.240002,51.549999,50.939999,50.959999,46.815643,5508000
2013-06-06,51.040001,51.48,50.599998,51.48,47.293339,4679500
2013-06-07,51.669998,52.130001,51.599998,52.080002,47.844547,4558100
2013-06-12,52.259998,52.48,51.540001,51.610001,47.412773,4856600
2013-06-13,51.470001,52.849998,51.09,52.779999,48.487614,5175400
2013-06-17,53.169998,53.799999,53.099998,53.509998,49.158253,6131000
2013-06-18,52.990002,53.25,52.450001,52.919998,48.616241,5610000
2013-06-19,52.990002,53.18,52.049999,52.049999,47.81699,5714900
2013-06-20,51.66,51.98,51.060001,51.189999,47.026939,7158700
2013-06-21,51.669998,52.549999,51.66,52.490002,48.22121,8406400
2013-06-24,52.07,52.23,51.189999,51.580002,47.38522,6412400
2013-06-28,51.93,52.169998,51.470001,51.470001,47.284161,6747100
2013-07-01,52.060001,52.630001,51.91,52.049999,47.81699,4715800
2013-07-03,51.66,51.869999,51.279999,51.529999,47.595318,2259100
2013-07-05,51.869999,52.419998,51.849998,52.41,48.408115,3673200
2013-07-08,52.610001,52.98,52.509998,52.790001,48.759102,4606400
2013-07-11,53.400002,53.77,53.360001,53.740002,49.636566,5063400
2013-07-12,53.0,53.549999,52.799999,53.439999,49.359474,5866200
2013-07-17,54.029999,54.779999,53.919998,54.400002,50.246174,5190200
2013-07-18,54.439999,54.75,54.32,54.700001,50.523266,4708000
2013-07-19,54.650002,55.119999,54.419998,55.02,50.818825,7319300
2013-07-22,54.950001,55.580002,54.950001,55.48,51.243702,4019000
2013-07-24,55.509998,55.619999,55.02,55.09,50.883484,3155400
2013-07-25,55.18,55.529999,54.900002,55.380001,51.151333,4180700
2013-07-29,55.540001,55.59,55.189999,55.32,51.095921,2831700
2013-08-02,54.91,55.16,54.349998,54.939999,50.74493,11814400
2013-08-05,54.759998,55.459999,54.669998,55.360001,51.13287,5395300
2013-08-08,55.490002,55.98,55.389999,55.880001,51.613159,4641500
2013-08-09,55.759998,55.779999,55.290001,55.369999,51.142105,3868100
2013-08-13,55.200001,55.349998,54.650002,54.84,50.652569,4612600
2013-08-14,55.099998,55.330002,54.91,55.200001,50.985081,4784700
