Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,67.220001,67.470001,67.010002,67.400002,57.561745,7628600
2012-09-06,67.68,68.25,67.599998,68.239998,58.279125,13200500
2012-09-13,67.889999,68.980003,67.889999,68.910004,58.851337,10495400
2012-10-02,69.529999,69.720001,68.519997,68.790001,58.748856,11241400
2012-10-03,69.019997,69.540001,68.730003,69.169998,59.073391,8869500
2012-10-08,69.480003,69.480003,68.889999,69.099998,59.013603,6577000
2012-10-09,68.919998,69.279999,68.519997,68.699997,58.671986,8200100
2012-10-10,68.790001,68.940002,67.949997,68.139999,58.193733,8937500
2012-10-15,68.269997,68.889999,67.970001,68.709999,58.680531,8359300
2012-10-17,68.550003,69.639999,68.510002,69.470001,59.816807,11061000
2012-10-19,69.360001,69.489998,68.449997,68.57,59.041847,10125600
2012-10-23,67.980003,68.129997,67.260002,67.440002,58.068871,8030800
2012-10-24,67.370003,68.370003,67.370003,68.080002,58.619938,10209600
2012-10-25,69.75,70.830002,69.580002,70.07,60.333412,24479700
2012-10-26,69.739998,70.360001,69.389999,69.440002,59.790977,11945200
2012-11-05,69.220001,69.220001,68.349998,68.669998,59.127949,6525700
2012-11-07,68.82,68.870003,67.790001,68.059998,58.602722,8849600
2012-11-08,67.980003,68.089996,66.900002,66.910004,57.612514,7917700
2012-11-16,66.360001,66.970001,66.139999,66.82,57.535023,11354200
2012-11-19,66.989998,67.919998,66.860001,67.919998,58.482166,8741400
2012-11-20,67.809998,68.489998,67.760002,68.300003,58.809361,7611600
2012-11-23,68.75,69.610001,68.709999,69.589996,59.920109,4598200
2012-11-27,69.199997,69.480003,68.910004,68.989998,59.403481,8154300
2012-11-28,69.0,69.739998,68.900002,69.440002,59.790977,11255800
2012-12-06,69.480003,70.239998,69.440002,69.949997,60.230103,10686900
2012-12-11,70.290001,70.970001,70.139999,70.660004,60.841446,9298000
2012-12-13,70.550003,70.639999,69.900002,70.129997,60.385067,8478200
2012-12-19,69.760002,69.989998,68.769997,69.339996,59.704849,10304800
2012-12-20,69.300003,70.25,69.300003,69.82,60.118164,10218200
2012-12-21,69.43,69.82,68.379997,68.720001,59.171005,17746900
2012-12-26,68.57,68.589996,67.699997,68.0,58.551064,6937000
2012-12-28,67.730003,67.910004,67.059998,67.150002,57.819176,6463300
2012-12-31,67.0,67.970001,66.830002,67.889999,58.456337,9061900
2013-01-02,68.650002,69.389999,68.349998,69.389999,59.747902,9987000
2013-01-03,69.440002,69.5,68.940002,68.949997,59.369049,7741900
2013-01-07,68.919998,68.919998,68.379997,68.620003,59.084908,5269800
2013-01-09,68.769997,69.110001,68.610001,68.879997,59.308765,5762900
2013-01-10,68.980003,69.290001,68.68,69.269997,59.644596,12855000
2013-01-14,69.309998,69.970001,69.230003,69.629997,59.954544,11570700
2013-01-23,69.839996,70.699997,69.800003,70.690002,61.360748,10588600
2013-01-25,71.75,73.25,71.75,73.25,63.582901,28760300
2013-01-28,73.730003,74.230003,73.190002,73.769997,64.034248,14010000
2013-01-29,73.550003,75.309998,73.519997,75.0,65.101952,17576700
2013-02-01,75.300003,75.970001,75.169998,75.919998,65.90052,12204000
2013-02-04,75.690002,75.800003,74.949997,75.25,65.318954,11086000
2013-02-05,75.440002,76.690002,75.32,75.699997,65.709549,14851700
2013-02-06,75.32,76.190002,75.040001,76.150002,66.100174,17015800
2013-02-08,76.150002,76.480003,75.559998,75.75,65.752953,9130700
2013-02-13,76.010002,76.580002,75.980003,76.559998,66.456062,7113300
2013-02-19,76.559998,77.769997,76.489998,77.379997,67.167847,11783500
2013-02-25,77.07,77.669998,75.919998,75.919998,65.90052,9970400
2013-02-27,75.949997,76.949997,75.699997,76.75,66.620995,7567800
2013-02-28,76.660004,76.910004,76.169998,76.18,66.126213,10466900
2013-03-14,76.870003,77.470001,76.830002,77.389999,67.176529,8079100
2013-03-15,77.080002,77.379997,76.339996,76.339996,66.265091,15237000
2013-03-19,76.139999,77.18,76.110001,77.110001,66.933479,9326400
2013-03-20,77.290001,77.82,77.269997,77.580002,67.341461,8615800
2013-03-25,77.269997,77.620003,76.440002,76.68,66.560211,6843600
2013-03-26,77.019997,77.5,76.889999,77.400002,67.185219,5386000
2013-04-01,76.849998,77.849998,76.730003,77.699997,67.44561,7266000
2013-04-02,77.839996,79.150002,77.650002,78.959999,68.53933,13373600
2013-04-03,78.879997,79.080002,77.839996,78.120003,67.810188,8426700
2013-04-04,78.32,78.980003,78.25,78.540001,68.174759,8770600
2013-04-08,78.120003,78.879997,77.879997,78.790001,68.391762,6284500
2013-04-09,78.82,78.889999,78.07,78.260002,67.931702,6760600
2013-04-10,78.489998,79.489998,78.43,79.239998,68.782364,7947600
2013-04-11,79.370003,80.129997,79.330002,79.669998,69.155647,11831600
2013-04-12,79.510002,80.660004,79.470001,80.080002,69.511513,9383400
2013-04-15,79.790001,80.839996,79.599998,79.650002,69.138268,10877200
2013-04-16,79.830002,80.209999,79.370003,80.099998,69.528885,9365600
2013-04-17,79.980003,80.139999,78.849998,79.059998,68.626122,10964600
2013-04-18,79.089996,80.18,79.059998,79.870003,69.329247,10896200
2013-04-19,80.370003,81.699997,80.199997,81.43,70.683342,13147600
2013-04-23,81.459999,82.540001,80.510002,82.540001,71.646873,12684800
2013-04-24,79.489998,79.610001,76.93,77.120003,67.433998,25708200
2013-04-25,77.669998,77.669998,76.349998,76.580002,66.961807,14702300
2013-04-26,76.720001,77.220001,76.580002,77.099998,67.416504,8769100
2013-04-29,77.559998,77.980003,77.230003,77.68,67.923653,6638100
2013-04-30,77.860001,77.889999,76.599998,76.769997,67.127953,9653800
2013-05-02,77.389999,78.279999,77.139999,77.760002,67.993599,7288200
2013-05-03,78.099998,78.459999,77.660004,78.190002,68.369621,7884000
2013-05-06,78.029999,78.400002,77.519997,77.75,67.984848,7204200
2013-05-08,77.900002,78.510002,77.230003,78.440002,68.588203,12067300
2013-05-10,78.410004,78.790001,78.230003,78.760002,68.868019,6162500
2013-05-14,78.93,79.470001,78.739998,79.470001,69.488831,6867400
2013-05-15,79.470001,81.0,79.470001,80.68,70.54686,11154400
2013-05-16,80.489998,80.739998,79.889999,80.199997,70.127144,8065600
2013-05-20,79.980003,79.980003,78.779999,79.089996,69.15657,7307300
2013-05-24,81.879997,82.349998,81.440002,81.879997,71.59613,25580900
2013-05-28,82.050003,82.129997,80.769997,80.860001,70.704254,14372700
2013-05-29,80.160004,80.25,78.870003,78.900002,68.990433,9992500
2013-05-31,78.790001,78.809998,76.75,76.760002,67.119209,16461900
2013-06-03,76.870003,77.699997,76.120003,77.660004,67.906166,11720600
2013-06-05,77.080002,77.209999,76.629997,76.660004,67.031769,8826900
2013-06-07,77.440002,78.279999,77.269997,77.75,67.984848,7839500
2013-06-12,78.639999,78.889999,77.480003,77.599998,67.853699,7834200
2013-06-13,77.540001,78.690002,77.139999,78.43,68.579445,6927700
2013-06-14,78.489998,78.790001,77.669998,78.029999,68.229691,6825900
2013-06-17,78.260002,79.470001,78.25,78.959999,69.042885,7359900
2013-06-19,79.050003,79.470001,77.589996,77.610001,67.862442,7424500
2013-06-20,77.209999,77.330002,75.099998,75.25,65.798851,15555700
2013-06-21,76.25,77.529999,75.690002,77.43,67.705048,20055700
2013-06-24,76.949997,77.43,75.629997,76.580002,66.961807,12563300
2013-06-26,77.230003,77.589996,77.019997,77.400002,67.678825,7326500
2013-06-28,77.620003,77.940002,76.900002,76.989998,67.320313,9865300
2013-07-01,77.019997,78.449997,77.0,78.019997,68.220955,6699200
2013-07-02,77.949997,78.610001,77.709999,78.440002,68.588203,10228500
2013-07-08,78.540001,79.080002,78.5,78.760002,68.868019,11141400
2013-07-09,79.07,79.900002,79.07,79.57,69.576271,11456200
2013-07-11,80.550003,80.989998,80.290001,80.769997,70.625572,9185400
2013-07-12,80.669998,81.639999,80.669998,81.550003,71.30761,12586300
2013-07-16,81.32,81.370003,80.910004,80.970001,70.800446,11208600
2013-07-19,80.360001,81.410004,80.050003,81.370003,71.683159,7862600
2013-07-24,80.949997,81.0,80.129997,80.269997,70.714096,5606600
2013-08-01,81.620003,82.230003,81.209999,81.639999,71.921013,10724800
2013-08-09,81.919998,82.059998,81.190002,81.639999,71.921013,6127200
2013-08-14,81.669998,81.779999,81.190002,81.25,71.577446,5167500
2013-08-15,80.959999,81.080002,80.169998,80.480003,70.899101,7415300
2013-08-16,80.269997,80.480003,79.059998,79.900002,70.388145,9451600
2013-08-26,79.919998,79.980003,78.529999,78.540001,69.190056,6385400
2013-08-27,77.870003,78.360001,77.330002,77.970001,68.68792,7052200
2013-08-28,77.860001,77.860001,76.849998,76.849998,67.701248,9008500
2013-08-29,76.760002,77.839996,76.419998,77.309998,68.106483,5961000
2013-08-30,77.529999,78.07,73.610001,77.889999,68.617439,9039100
2013-09-09,77.370003,78.199997,77.370003,78.160004,68.855309,6089300
2013-09-13,78.440002,79.18,78.410004,79.050003,69.639336,4894100
2013-09-16,79.720001,80.209999,79.709999,80.160004,70.61721,7512800
2013-09-18,79.059998,80.480003,78.529999,80.300003,70.740547,10372100
2013-09-20,80.089996,80.18,79.389999,79.389999,69.93885,11146100
2013-09-24,78.970001,79.480003,78.589996,78.620003,69.260544,7692100
2013-09-25,78.839996,79.0,77.709999,77.720001,68.467674,7589300
2013-09-27,77.75,77.75,76.769997,77.209999,68.018387,6551300
2013-09-30,76.800003,77.160004,75.349998,75.589996,66.591263,15028300
2013-10-01,75.519997,76.5,75.440002,76.160004,67.093391,8076100
2013-10-08,76.389999,77.0,76.050003,76.330002,67.243149,9656600
2013-10-09,76.580002,77.160004,76.099998,76.949997,67.78936,8470700
2013-10-10,77.410004,77.919998,77.150002,77.889999,68.617439,10121900
2013-10-11,78.0,78.489998,77.809998,78.480003,69.137215,6082200
2013-10-15,78.379997,78.610001,77.440002,77.599998,68.361954,11192500
2013-10-16,77.349998,78.489998,77.260002,78.339996,69.553436,6562600
2013-10-17,78.190002,79.470001,77.980003,79.419998,70.512321,8671300
2013-10-21,79.269997,79.32,78.440002,78.970001,70.112785,6478700
2013-10-22,79.309998,80.610001,79.279999,80.379997,71.364632,9572300
2013-10-23,80.339996,81.25,80.25,80.910004,71.835197,8960700
2013-10-25,80.550003,80.720001,79.510002,80.0,71.02726,9606500
2013-10-28,80.110001,81.860001,79.949997,81.300003,72.181458,9820900
2013-10-29,81.459999,82.620003,81.099998,82.459999,73.211334,9482900
2013-10-30,82.529999,82.559998,81.230003,81.519997,72.376785,6490000
2013-10-31,81.199997,81.599998,80.720001,80.75,71.69313,7786800
2013-11-06,81.639999,83.099998,81.330002,82.809998,73.522095,9526400
2013-11-07,82.910004,83.099998,82.110001,82.32,73.087051,10087700
2013-11-12,82.230003,83.040001,82.120003,82.800003,73.513222,8201700
2013-11-13,82.57,83.5,82.459999,83.5,74.13472,7581600
2013-11-14,83.43,84.459999,83.43,84.32,74.86274,7580500
2013-11-15,84.169998,84.919998,84.160004,84.839996,75.324409,9664700
2013-11-25,84.959999,85.82,84.849998,85.410004,75.830475,9670500
2013-11-26,85.199997,85.760002,84.639999,84.639999,75.146851,7111600
2013-12-02,84.040001,84.150002,83.099998,83.339996,73.992638,7497500
2013-12-03,83.300003,84.0,83.230003,83.830002,74.427689,7533200
2013-12-04,83.379997,83.489998,82.589996,83.349998,74.001518,6807200
2013-12-05,83.389999,83.449997,82.300003,82.690002,73.41555,8186600
2013-12-06,83.230003,84.529999,83.169998,84.519997,75.040298,7189400
2013-12-10,84.410004,84.43,83.43,83.650002,74.267891,7373300
2013-12-12,83.82,83.870003,81.93,82.300003,73.069305,10176300
2013-12-16,82.720001,83.07,81.599998,81.690002,72.527718,8849700
2013-12-17,81.790001,81.849998,80.690002,80.910004,71.835197,11416400
2013-12-18,81.209999,82.419998,80.480003,82.379997,73.140312,12036100
2013-12-19,81.980003,82.290001,81.510002,81.900002,72.714157,6442600
2013-12-23,82.139999,82.139999,81.010002,81.309998,72.190331,8653600
2013-12-26,81.489998,81.889999,81.290001,81.760002,72.589859,5347000
2013-12-31,81.830002,82.0,81.089996,81.410004,72.279121,5765300
2014-01-02,81.330002,81.360001,80.32,80.540001,71.506683,6981700
2014-01-07,80.709999,81.580002,80.620003,81.419998,72.287987,7158200
2014-01-08,80.970001,81.150002,80.050003,80.239998,71.240334,13458800
2014-01-14,80.059998,80.919998,80.019997,80.870003,71.799698,8737100
2014-01-17,80.419998,80.639999,79.800003,79.879997,70.920723,13629800
2014-01-23,78.709999,78.970001,78.120003,78.239998,69.99015,12667700
2014-01-24,79.330002,81.699997,78.779999,79.18,70.831024,20163200
2014-01-27,79.239998,79.300003,78.419998,78.470001,70.195908,10395400
2014-01-28,78.669998,79.519997,78.43,79.110001,70.76841,10060800
2014-01-29,78.800003,78.800003,77.379997,77.639999,69.453423,13443100
2014-01-30,78.050003,78.050003,76.769997,76.870003,68.76461,9450500
2014-02-03,76.690002,76.760002,75.599998,75.699997,67.717972,14292700
2014-02-04,76.0,76.389999,75.400002,76.089996,68.066841,12055400
2014-02-06,76.529999,76.989998,76.480003,76.900002,68.791451,7819700
2014-02-07,76.989998,77.389999,76.75,77.309998,69.158211,7259200
2014-02-10,77.43,78.089996,77.190002,78.029999,69.802307,8959700
2014-02-11,78.099998,79.110001,77.639999,78.839996,70.526894,10500800
2014-02-12,78.129997,78.529999,77.059998,77.489998,69.319229,11019700
2014-02-14,77.690002,79.75,77.25,79.400002,71.02784,10791900
2014-02-18,79.480003,79.629997,77.559998,77.970001,69.748619,15750700
2014-02-28,78.239998,78.910004,78.010002,78.660004,70.365868,8489600
2014-03-03,78.260002,78.410004,77.349998,77.480003,69.310287,8598600
2014-03-04,78.089996,78.720001,77.900002,78.449997,70.178009,8306900
2014-03-05,78.32,78.410004,77.550003,77.82,69.614426,8542300
2014-03-11,78.589996,79.389999,78.57,78.949997,70.625275,6595800
2014-03-17,79.019997,79.949997,79.019997,79.839996,71.421432,8452100
2014-03-19,79.68,79.910004,78.510002,78.779999,70.473228,8607200
2014-03-20,78.699997,78.93,78.150002,78.32,70.061707,8659500
2014-03-21,79.040001,79.75,77.879997,77.879997,69.668106,21244400
2014-03-24,78.5,79.830002,78.470001,79.300003,70.938377,11221600
2014-03-25,79.519997,79.989998,79.440002,79.809998,71.3946,8892500
2014-03-31,80.0,80.830002,79.550003,80.599998,72.101303,8492800
2014-04-07,80.019997,81.07,79.93,80.489998,72.002899,13229000
2014-04-08,80.510002,81.379997,80.019997,81.349998,72.772217,11880700
2014-04-16,81.279999,81.879997,81.029999,81.650002,73.040604,8300700
