Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,89.440002,89.949997,89.169998,89.629997,72.898048,3917000
2012-09-05,89.519997,89.879997,89.0,89.089996,72.458862,3766600
2012-09-07,89.400002,89.879997,88.669998,88.830002,72.247398,4860000
2012-09-12,88.589996,88.589996,86.110001,86.669998,70.490608,8388100
2012-09-13,87.029999,90.57,86.800003,90.150002,73.320969,17534600
2012-09-14,89.599998,90.050003,88.839996,89.480003,72.77607,19859500
2012-09-17,89.360001,90.910004,89.349998,90.690002,73.76017,18849900
2012-09-18,90.690002,91.849998,90.510002,91.510002,74.427101,4473800
2012-09-20,91.510002,92.25,91.510002,92.129997,74.931358,5467100
2012-09-25,91.489998,91.949997,90.059998,90.080002,73.946289,4973400
2012-09-28,90.5,90.5,89.730003,89.940002,73.831367,5092900
2012-10-01,90.269997,91.169998,90.0,90.709999,74.46344,4336200
2012-10-02,91.099998,92.0,91.099998,91.849998,75.399277,3879800
2012-10-03,91.919998,92.940002,91.849998,92.769997,76.154495,3823800
2012-10-04,93.040001,94.0,92.989998,93.309998,76.597786,3516700
2012-10-09,92.779999,93.230003,91.489998,91.5,75.111954,4057500
2012-10-10,91.660004,92.360001,90.699997,90.779999,74.52092,3794600
2012-10-12,91.480003,92.779999,91.370003,91.699997,75.276138,3617300
2012-10-17,92.209999,92.82,91.830002,91.849998,75.399277,4829300
2012-10-18,89.080002,90.360001,87.959999,88.0,72.238808,8848900
2012-10-22,88.279999,89.410004,88.099998,89.199997,73.223892,4386700
2012-10-23,88.510002,88.510002,87.400002,87.910004,72.16494,4171500
2012-10-26,87.949997,88.970001,87.480003,88.279999,72.468681,4375000
2012-11-01,88.970001,89.43,87.559998,87.589996,71.902252,5298000
2012-11-02,87.650002,88.470001,86.870003,86.93,71.360474,9707000
2012-11-06,87.0,87.860001,86.919998,87.389999,71.738068,4059800
2012-11-07,87.160004,87.589996,86.339996,86.349998,70.884346,5175400
2012-11-08,86.419998,87.220001,85.519997,85.550003,70.227631,4271600
2012-11-12,85.32,86.209999,84.900002,84.980003,69.75972,3493200
2012-11-13,84.589996,85.550003,84.349998,84.419998,69.300034,5288800
2012-11-14,84.400002,85.169998,82.239998,82.389999,67.633598,8158500
2012-11-15,82.199997,84.029999,82.099998,83.970001,68.930626,7166800
2012-11-16,84.209999,85.199997,83.889999,84.93,69.718666,6501000
2012-11-19,85.589996,86.860001,85.540001,86.860001,71.303001,5035500
2012-11-20,86.93,88.129997,86.860001,88.099998,72.320908,5853300
2012-11-21,88.18,88.879997,88.010002,88.720001,72.829849,3296700
2012-11-23,89.0,90.43,88.900002,90.410004,74.217194,2169500
2012-11-26,89.839996,90.0,89.139999,89.870003,73.773895,3384100
2012-11-27,90.519997,90.519997,89.07,89.129997,73.166435,4474400
2012-11-28,89.0,90.040001,88.25,89.910004,73.806732,5520800
2012-12-04,89.809998,89.949997,88.949997,88.949997,73.018684,4145400
2012-12-07,88.669998,89.699997,88.669998,89.470001,73.445534,3897500
2012-12-11,89.489998,89.720001,88.169998,88.459999,72.61644,4918500
2012-12-13,88.690002,89.199997,87.910004,88.199997,72.403015,3898500
2012-12-14,87.510002,88.300003,87.510002,87.75,72.033607,4875800
2012-12-18,87.279999,87.449997,85.379997,86.510002,71.015701,8176600
2012-12-19,86.519997,86.760002,84.620003,84.650002,69.488831,9307000
2012-12-20,84.440002,85.57,83.790001,85.5,70.218925,7770400
2012-12-21,85.190002,85.760002,84.099998,84.949997,69.767235,10896300
2012-12-24,83.599998,84.260002,83.599998,83.739998,68.842361,2435100
2012-12-26,83.830002,83.849998,82.809998,82.949997,68.192909,3509600
2012-12-27,83.139999,83.93,82.910004,83.769997,68.86702,5230400
2012-12-28,83.199997,83.989998,82.599998,82.650002,67.946304,3911100
2012-12-31,82.720001,83.739998,82.440002,83.639999,68.76017,5705000
2013-01-02,84.699997,86.769997,84.330002,86.739998,71.308655,6499100
2013-01-03,86.940002,87.32,85.400002,85.860001,70.585228,5817000
2013-01-04,86.0,86.650002,85.870003,86.519997,71.127808,4205800
2013-01-10,86.379997,87.290001,86.32,87.290001,71.760811,5312800
2013-01-11,88.529999,89.830002,88.529999,89.230003,73.35569,8106000
2013-01-16,88.440002,88.779999,87.900002,88.339996,72.624008,3400400
2013-01-17,88.660004,89.389999,88.470001,89.139999,73.281693,4568300
2013-01-18,89.410004,89.980003,88.900002,89.980003,73.972275,5443600
2013-01-23,89.730003,90.0,88.540001,88.839996,73.035065,4865200
2013-01-24,89.120003,90.0,88.760002,89.760002,73.791382,4403600
2013-01-30,88.440002,88.669998,87.400002,87.650002,72.056778,6468300
2013-01-31,87.809998,89.019997,87.650002,88.160004,72.476059,5045200
2013-02-04,87.529999,88.050003,86.800003,87.330002,71.793701,5808700
2013-02-05,87.43,88.139999,87.309998,87.959999,72.311623,4546200
2013-02-07,87.150002,90.0,86.849998,89.82,73.840736,7478500
2013-02-08,89.639999,90.849998,89.639999,90.449997,74.358627,4366500
2013-02-13,90.43,91.470001,90.43,90.989998,74.802559,3852800
2013-02-14,90.860001,90.989998,89.849998,90.010002,73.996933,5268700
2013-02-19,90.370003,91.400002,90.089996,91.309998,75.065636,4428500
2013-02-20,91.279999,92.790001,90.75,92.089996,75.706894,4866700
2013-02-21,91.610001,93.610001,91.349998,93.129997,76.561859,5990900
2013-02-25,93.279999,93.57,91.550003,91.559998,75.271172,6398900
2013-03-04,91.480003,92.57,91.470001,92.360001,75.928848,4116200
2013-03-06,92.339996,92.629997,91.410004,91.599998,75.30407,4083800
2013-03-08,91.870003,91.919998,90.910004,91.110001,74.90123,3946700
