Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,72.769997,73.839996,72.57,73.510002,64.493294,8524100
2012-09-06,73.980003,74.809998,73.839996,74.809998,65.63382,6508500
2012-09-07,74.699997,74.800003,73.5,73.82,64.765266,6621400
2012-09-11,73.720001,74.419998,73.550003,74.059998,64.975815,5291400
2012-09-13,73.949997,75.190002,73.949997,75.139999,65.923347,7407400
2012-09-14,74.839996,74.989998,74.260002,74.5,65.361847,8535700
2012-09-17,74.360001,74.68,73.870003,73.989998,64.914413,6854600
2012-09-19,74.25,74.629997,73.989998,74.370003,65.24781,5655900
2012-09-20,74.32,74.82,74.32,74.75,65.581192,4523200
2012-09-25,74.910004,75.050003,74.260002,74.260002,65.151299,6424700
2012-10-03,74.029999,74.75,73.75,74.199997,65.098648,8164700
2012-10-04,74.510002,75.010002,74.510002,74.720001,65.554878,5000900
2012-10-05,74.940002,75.5,74.889999,75.129997,65.914566,5205100
2012-10-09,75.160004,75.379997,74.129997,74.139999,65.046005,8307300
2012-10-10,74.650002,76.809998,74.639999,75.419998,66.169029,19364800
2012-10-11,76.599998,76.610001,74.949997,75.010002,65.809296,8325500
2012-10-12,75.419998,76.040001,75.300003,75.809998,66.511177,8029300
2012-10-15,75.870003,77.349998,75.559998,77.150002,67.686806,9669600
2012-10-18,77.019997,77.230003,76.169998,76.559998,67.169174,7325700
2012-10-19,76.580002,76.709999,75.43,75.620003,66.344475,6942500
2012-10-23,75.050003,75.489998,74.510002,74.760002,65.589981,5833900
2012-10-25,75.300003,75.5,74.889999,75.32,66.081276,4432900
2012-11-01,75.129997,75.160004,73.150002,73.449997,64.440643,12943600
2012-11-02,73.459999,73.57,72.709999,72.769997,63.844048,8563500
2012-11-05,72.660004,73.199997,72.650002,73.139999,64.168655,4767700
2012-11-06,73.169998,74.279999,73.129997,73.760002,64.712624,5334400
2012-11-07,73.419998,73.900002,72.860001,73.110001,64.142357,6809900
2012-11-08,73.010002,73.980003,72.480003,72.480003,63.589622,7137100
2012-11-13,71.970001,72.300003,71.18,71.809998,63.001823,8977400
2012-11-14,71.860001,72.0,71.080002,71.309998,62.563133,9111300
2012-11-15,69.660004,69.690002,67.849998,68.720001,60.290833,23048900
2012-11-16,68.589996,68.690002,67.879997,68.029999,59.685455,12257100
2012-11-19,68.150002,69.129997,67.650002,69.019997,60.554024,12835700
2012-11-23,69.339996,70.239998,68.879997,70.199997,61.589294,5134900
2012-11-27,69.900002,70.169998,69.449997,69.5,60.975151,7382300
2012-11-28,69.459999,70.809998,69.290001,70.559998,61.905132,10496400
2012-11-30,70.970001,72.120003,70.849998,72.019997,63.186054,12485200
2012-12-03,72.110001,72.339996,71.339996,71.339996,62.589458,9086800
2012-12-04,71.470001,72.599998,71.449997,72.120003,63.273788,12820500
2012-12-07,71.900002,72.589996,71.849998,72.290001,63.774895,7283000
